id,type,projects,tasks,requirements,offers,weeks,persons,model_size,mappings,vars,constraints,is_optimal,solved_ratio,project_ratio,total_time_avg,build_time_avg,pm_time_avg,build_gips_time_avg,build_solver_time_avg,solve_time_avg,apply_time_avg,pm_time_max,build_time_max,build_gips_time_max,build_solver_time_max,solve_time_max,apply_time_max,pm_time_min,build_time_min,build_gips_time_min,build_solver_time_min,solve_time_min,apply_time_min,pm_memory_avg,build_memory_avg,build_gips_memory_avg,build_solver_memory_avg,solve_memory_avg,apply_memory_avg,pm_memory_max,build_memory_max,build_gips_memory_max,build_solver_memory_max,solve_memory_max,apply_memory_max,pm_memory_min,build_memory_min,build_gips_memory_min,build_solver_memory_min,solve_memory_min,apply_memory_min
BATCH-B-batch-6,BATCH-B,6,36,180,2149,76,103,2797,1911,21261,34284,true,1.0,1.0,5.925682179000001,3.821820548,0.210666383,3.434843839,0.175931664,0.493766215,1.399429033,0.210666383,3.821820548,3.434843839,0.175931664,0.493766215,1.399429033,0.210666383,3.821820548,3.434843839,0.175931664,0.493766215,1.399429033,256,343,273,343,379,620,256,343,273,343,379,620,256,343,273,343,379,620
BATCH-C-batch-6,BATCH-C,6,36,180,2149,76,103,2797,2791,29181,49389,true,1.0,1.0,5.486097026,3.081874106,0.205862993,2.632996015,0.242642016,0.581908443,1.616451484,0.205862993,3.081874106,2.632996015,0.242642016,0.581908443,1.616451484,0.205862993,3.081874106,2.632996015,0.242642016,0.581908443,1.616451484,238,146,872,146,189,498,238,146,872,146,189,498,238,146,872,146,189,498
BATCH-D-batch-6,BATCH-D,6,36,180,2149,76,103,2797,215106,1940016,3449214,true,1.0,1.0,97.890227772,31.440200786,2.091224729,13.969368419,15.379084642,12.570363668,51.788438589,2.091224729,31.440200786,13.969368419,15.379084642,12.570363668,51.788438589,2.091224729,31.440200786,13.969368419,15.379084642,12.570363668,51.788438589,795,6674,4095,6674,6852,6772,795,6674,4095,6674,6852,6772,795,6674,4095,6674,6852,6772
BATCH-E-batch-6,BATCH-E,6,36,180,2149,76,103,2797,801726,7219596,12836707,false,1.0,1.0,452.97372720500005,170.157043792,4.695580685,105.330470394,60.130436936,48.931611405,229.189491323,4.695580685,170.157043792,105.330470394,60.130436936,48.931611405,229.189491323,4.695580685,170.157043792,105.330470394,60.130436936,48.931611405,229.189491323,2186,18611,14634,18611,19187,21135,2186,18611,14634,18611,19187,21135,2186,18611,14634,18611,19187,21135
BATCH-A-inc-6,BATCH-A,6,60,900,82558,376,462,85602,60410,577488,797182,true,1.0,1.0,309.983248818,42.029300054,2.802273033,34.809731009,4.416787827,196.636133498,68.515542233,2.802273033,42.029300054,34.809731009,4.416787827,196.636133498,68.515542233,2.802273033,42.029300054,34.809731009,4.416787827,196.636133498,68.515542233,1179,11689,9679,11689,11785,6316,1179,11689,9679,11689,11785,6316,1179,11689,9679,11689,11785,6316
INC-F-inc-6,INC-F,6,60,900,82558,376,462,85602,15585,145898,202270,true,1.0,1.0,76.24503999866667,29.369928884999997,0.425474173,28.270602300833332,0.6707026543333333,16.155396342333333,30.294240598333335,2.107831635,30.358649744,29.82564075,1.075779191,45.169553085,53.23398862,0.052518471,28.011852092,26.290775108,0.477549501,5.68541267,17.404845631,4986,5210,4863,5210,5254,5701,6284,5836,5517,5836,5879,6275,1013,4146,3635,4146,4196,4865
BATCH-A-batch-7,BATCH-A,7,42,210,2634,76,124,3381,2547,27662,39410,true,1.0,1.0,8.409536653,5.478956796,0.229333405,5.04302685,0.206221376,0.822161062,1.87908539,0.229333405,5.478956796,5.04302685,0.206221376,0.822161062,1.87908539,0.229333405,5.478956796,5.04302685,0.206221376,0.822161062,1.87908539,234,508,425,508,136,491,234,508,425,508,136,491,234,508,425,508,136,491
BATCH-B-batch-7,BATCH-B,7,42,210,2634,76,124,3381,2547,27662,44490,true,1.0,1.0,8.887193847999999,5.921215061,0.203436513,5.495961715,0.221434238,0.822865229,1.939677045,0.203436513,5.921215061,5.495961715,0.221434238,0.822865229,1.939677045,0.203436513,5.921215061,5.495961715,0.221434238,0.822865229,1.939677045,228,496,409,496,128,487,228,496,409,496,128,487,228,496,409,496,128,487
BATCH-C-batch-7,BATCH-C,7,42,210,2634,76,124,3381,3803,38966,65870,true,1.0,1.0,7.902916001,4.250504653,0.239432766,3.706121628,0.304561035,0.915869692,2.49710889,0.239432766,4.250504653,3.706121628,0.304561035,0.915869692,2.49710889,0.239432766,4.250504653,3.706121628,0.304561035,0.915869692,2.49710889,234,959,831,959,996,668,234,959,831,959,996,668,234,959,831,959,996,668
BATCH-D-batch-7,BATCH-D,7,42,210,2634,76,124,3381,307657,2773652,4931330,true,1.0,1.0,166.933935104,49.697638192,2.587118932,24.778185107,22.331837613,18.959836552,95.689341428,2.587118932,49.697638192,24.778185107,22.331837613,18.959836552,95.689341428,2.587118932,49.697638192,24.778185107,22.331837613,18.959836552,95.689341428,1077,7731,6658,7731,8001,13023,1077,7731,6658,7731,8001,13023,1077,7731,6658,7731,8001,13023
